yr_cleaned,start,era,era_cleaned,sub_era,sub-sub-era,event_cleaned,source_text,sub-key,type,y-key,pivot,source_cleaned
"100,000 BBY",-100000,Pre-Republic era,Pre-Republic era,0,,"Around this time, the Sharu expand out from the Rafa system and the Centrality, planting their indestructible pyramids on planets such as Aargau. However, the Sharu bury their cities and revert to a primitive state in an attempt to avoid the attention of the Celestials.",The Essential Atlas,2,Legends,5,1,Other
"90,000 BBY",-90000,Pre-Republic era,Pre-Republic era,0,,"The metropolis eventually known as Galactic City has grown to the point where new levels are built atop old ones, beginning the trend of upward building that continues for thousands of years.",The Essential Atlas,0,Legends,1,0,Other
"57,000 BBY",-57000,Pre-Republic era,Pre-Republic era,0,,Humanoid colonists arrive on the planet Utapau.,The New Essential Guide to Alien Species,0,Legends,1,1,Other
"53,600 BBY",-53600,Pre-Republic era,Pre-Republic era,0,,"The Quake, a series of intense groundquakes that last for centuries, begins on the planet Quesh."," Star Wars: The Old Republic—Codex Entry: ""The Quake""",0,Legends,1,0,Other
"53,300 BBY",-53300,Pre-Republic era,Pre-Republic era,0,,The Quake comes to an end as Quesh becomes geologically stable.," Star Wars: The Old Republic—Codex Entry: ""The Quake""",0,Legends,1,1,Other
"36,453 BBY",-36453,Pre-Republic era,Pre-Republic era,0,,"By this time, the few Kwa who remain on the Deep Core world of Tython have died out, and the Kwa as a whole have retreated to their homeworld of Dathomir in fear of the Rakata. The Kwa taught the Rakata how to use the Force, but conflict ensued when the Rakata tried to take the Kwa's Infinity Gate technology.",Dawn of the Jedi: The Prisoner of Bogan 4,0,Legends,1,0,Other
"36,453 BBY",-36453,Pre-Republic era,Pre-Republic era,0,,"The Tho Yor—eight great pyramid starships scattered across the galaxy—activate, calling Force-sensitives to them. The pilgrims board the Tho Yor, which proceed to visit numerous worlds and acquire Force-sensitives of many species before traveling to the Deep Core world of Tython.",Dawn of the Jedi: Force Storm 1,1,Legends,2,0,Other
"36,453 BBY",-36453,Pre-Republic era,Pre-Republic era,0,,"The arrival of the Tho Yor at the ninth and largest Tho Yor is heralded by an enormous Force Storm, and the Tho Yor scatter their passengers across Tython. The Tythans soon form the Je'daii Order, a group of Force-users who strive for balance between the light and dark sides of the Force which they know as Ashla and Bogan.",Dawn of the Jedi: Force Storm 1,2,Legends,3,0,Other
"35,000 BBY",-35000,Pre-Republic era,Pre-Republic era,0,,"The Rakata, having developed technology powered by the dark side of the Force, establish an Infinite Empire that begins to expand throughout the Unknown Regions and into the western galaxy.",The Complete Star Wars Encyclopedia,0,Legends,1,1,Other
Eons–25 millennia BBY,-35000,Prehistory (Eons–25 millennia BBY),Prehistory,Sentient species prehistory,,The universe begins forming.,Smuggler's Run: A Han Solo & Chewbacca Adventure,0,Canon,2,1,Other
Eons–25 millennia BBY,-35000,Prehistory (Eons–25 millennia BBY),Prehistory,Sentient species prehistory,,"Birth of the Father, the Son, and the Daughter—Force wielders who come to live on Mortis."," Star Wars: The Clone Wars – ""Ghosts of Mortis""",3,Canon,3,1,TCW
Eons–25 millennia BBY,-35000,Prehistory (Eons–25 millennia BBY),Prehistory,Sentient species history (chronology undefined),Pre-hyperspace travel,"A sentient ancestral species invents the hyperdrive after studying the hyperspace-travelling purrgil, opening up the galaxy for exploration.      Hyperspace","Star Wars: Galaxy's Edge has official backstory elements that, though not directly published for the public, are officially canon details that can be obtained verbally from cast members working in the land., Tarkin",8,Canon,4,1,Other
Eons–25 millennia BBY,-35000,Prehistory (Eons–25 millennia BBY),Prehistory,Sentient species history (chronology undefined),Pre-hyperspace travel,"Batuu, a planet on the edge of the Outer Rim Territories, is colonized millennia after a great cataclysm resulted in the planet's giant trees being destroyed and eventually petrified.",Star Wars: Aliens of the Galaxy,7,Canon,5,1,Other
Eons–25 millennia BBY,-35000,Prehistory (Eons–25 millennia BBY),Prehistory,Sentient species prehistory,,"A primitive species lives on the planet Abednedo, eventually evolving into the sentient Abednedo.",Nexus of Power,6,Canon,6,1,Other
Eons–25 millennia BBY,-35000,Prehistory (Eons–25 millennia BBY),Prehistory,Sentient species prehistory,,A non-sentient species lives on the planet Crul millions of years before they evolve into the sentient Crolute.,Nexus of Power,5,Canon,7,1,Other
Eons–25 millennia BBY,-35000,Prehistory (Eons–25 millennia BBY),Prehistory,Sentient species prehistory,,"Billions to millions of years before the Imperial Era, lava flows on Dagobah, forming Mount Dagger before disappearing to allow for the flourishing of non-sentient life.",Star Wars Jedi: Fallen Order,4,Canon,8,1,Other
Eons–25 millennia BBY,-35000,Prehistory (Eons–25 millennia BBY),Prehistory,Sentient species prehistory,,"Midi-chlorians, microscopic symbiotic organisms that connects the Living Force—the energy of all life—to the Cosmic Force, another aspect of the energy field known as the Force, are birthed from the Wellspring of Life.."," Star Wars: The Clone Wars – ""Destiny""",2,Canon,9,1,TCW
Eons–25 millennia BBY,-35000,Prehistory (Eons–25 millennia BBY),Prehistory,Sentient species prehistory,,"The galaxy is formed around a super-massive black hole at its center, which stars come to rotate around.","Battlefront: Twilight Company, Star Wars: Galactic Atlas",1,Canon,10,1,Other
"33,598 BBY",-33598,Pre-Republic era,Pre-Republic era,0,,The central control system of the Infinite Empire's terraforming computer on the planet Kashyyyk receives its last communication from its builders.,Star Wars: Knights of the Old Republic,0,Legends,1,0,Other
"33,357 BBY",-33357,Pre-Republic era,Pre-Republic era,0,,"The terraforming computer on Kashyyyk malfunctions, causing a hyper-acceleration in the growth of the planet's forests and giving rise to the enormous wroshyr trees.",Star Wars: Knights of the Old Republic,0,Legends,1,1,Other
"30,000 BBY",-30000,Pre-Republic era,Pre-Republic era,0,,"The Killiks vanish from Alderaan, Alsakan and the galaxy at large, having been relocated to the Unknown Regions; modern scholars believe that the Celestials are responsible.","The Essential Atlas, The Unknown Regions",2,Legends,1,0,Other
"30,000 BBY",-30000,Pre-Republic era,Pre-Republic era,0,,"The Killiks of Alderaan attempt to invade the planet Korriban, but are repelled by the Sith species.",The Essential Atlas,1,Legends,2,0,Other
"30,000 BBY",-30000,Pre-Republic era,Pre-Republic era,0,,"The Infinite Empire of the Rakata reaches its peak, spanning dozens of worlds across the galaxy. They annex the holdings of other spacefaring species such as the Gree and the Kwa.",The Essential Atlas,0,Legends,3,0,Other
30000 BBY,-30000,Prehistory (Eons–25 millennia BBY),Prehistory,Sentient species history (chronology undefined),Post-hyperspace travel,"Devaronians, naturally adept as scouts, become active as galactic explorers from their native planet Devaron, independently developing the hyperdrive.",Star Wars Jedi: Fallen Order,0,Canon,4,0,Other
30000 BBY,-30000,Prehistory (Eons–25 millennia BBY),Prehistory,Sentient species history (chronology undefined),Post-hyperspace travel,The Outer Rim planet Benetage is abandoned.,Star Wars Jedi: Fallen Order,1,Canon,5,0,Other
"28,000 BBY",-28000,Pre-Republic era,Pre-Republic era,0,,King Adas begins his reign over the Sith on Korriban.,Jedi vs. Sith: The Essential Guide to the Force,0,Legends,1,1,Other
"27,700 BBY",-27700,Pre-Republic era,Pre-Republic era,0,,"Using Rakatan Force-driven hyperdrive technology, the Sith spread out among the planets of the Stygian Caldera, and the planet Tund becomes a place of exile for heretics among the Sith.",The Essential Atlas,2,Legends,1,0,Other
"27,700 BBY",-27700,Pre-Republic era,Pre-Republic era,0,,"Korriban is devastated by the Rakatan attack, turning it into a wasteland and causing most Sith to relocate to the forested world of Ziost. Korriban becomes the species' holy tombworld.",Jedi vs. Sith: The Essential Guide to the Force,1,Legends,2,0,Other
"27,700 BBY",-27700,Pre-Republic era,Pre-Republic era,0,,"The Sith species on Korriban are visited by the Rakata of the Infinite Empire, but King Adas leads his people in driving the Rakata offworld after realizing they intend to conquer the planet.",The Essential Atlas,0,Legends,3,0,Other
"27,500 BBY",-27500,Pre-Republic era,Pre-Republic era,0,,"The Human natives of Coruscant begin to launch sublight sleeper ships over the next fifteen hundred years, seeding a number of worlds with Humans. These include Kuat, Metellos, Csilla, Alderaan, Koros Major, Rendili, and the Tion Cluster. The Humans also launch the Kuat Explorer, which colonizes the planet Alsakan.","The Essential Atlas, Han Solo and the Corporate Sector Sourcebook",0,Legends,1,1,Other
"27,000 BBY",-27000,Pre-Republic era,Pre-Republic era,0,,The Devaronian species also experiments with the tumble hyperdrive around this time.,The Essential Atlas,1,Legends,1,0,Other
"27,000 BBY",-27000,Pre-Republic era,Pre-Republic era,0,,Human colonists arrive in the Tion Cluster on sleeper ships.,The Essential Atlas,2,Legends,2,0,Other
"27,000 BBY",-27000,Pre-Republic era,Pre-Republic era,0,,"The Gossam Courivers, a group of Gossam explorers using the tumble hyperdrive, visit the planet Felucia and start a trend of Gossam colonization for the world.",The Essential Atlas,0,Legends,3,0,Other
27000 BBY,-27000,Prehistory (Eons–25 millennia BBY),Prehistory,Sentient species history (chronology undefined),Post-hyperspace travel,"By this point, human civilization had developed on Empress Teta.",Star Wars Jedi: Fallen Order,0,Canon,4,0,Other
"26,053 BBY",-26053,Pre-Republic era,Pre-Republic era,0,,The Morodin species colonizes Varonat.," ""First Contact""—Star Wars Adventure Journal 1 states that Varonat was colonized a thousand years before the Republic's founding.",0,Legends,1,1,Other
"26,000 BBY",-26000,Pre-Republic era,Pre-Republic era,0,,"In the aftermath of the fourth in a series of devastating planetary conflicts, the early Nikto discover the M'dweshuu nova and form the religious Cult of M'dweshuu. The Cult quickly takes control of the entire planet of Kintan and rules for three decades.","Geonosis and the Outer Rim Worlds, The Essential Guide to Alien Species",0,Legends,1,0,Other
"26,000 BBY",-26000,Pre-Republic era,Pre-Republic era,0,,The Verpine species colonize the Roche system.,The Essential Guide to Alien Species,1,Legends,2,0,Other
"26,000 BBY",-26000,Pre-Republic era,Pre-Republic era,0,,"By this time, Kuat has launched their own colonization ships and seeded Axum, Tepasi, and Humbarine with Humans.",The Essential Atlas,2,Legends,3,0,Other
"25,805 BBY",-25805,Pre-Republic era,Pre-Republic era,0,,"Queen Hadiya of Shikaakwa tried to conquer the whole Tython system, igniting the Despot War.",Dawn of the Jedi: Into the Void,0,Legends,1,1,Other
"25,805 BBY",-25805,Pre-Republic era,Pre-Republic era,0,,"Queen Hadiya is killed at the Battle of Tython, ending the Despot War.",Star Wars: Dawn of the Jedi 0,1,Legends,2,1,Other
"25,793 BBY",-25793,Pre-Republic era,Pre-Republic era,0,,The Infinite Empire launches a campaign of conquest against the Je'daii Order and the Settled Worlds.,,2,Legends,1,0,Other
"25,793 BBY",-25793,Pre-Republic era,Pre-Republic era,0,,Tatooine was conquered by the Infinite Empire.,The Essential Atlas,1,Legends,2,0,Other
"25,793 BBY",-25793,Pre-Republic era,Pre-Republic era,0,,The Force Wars on Tython begin between the followers of Ashla and the followers of Bogan.,"Manning, Shaun (2011-10-13, 1:52 pm PDT). NYCC EXCLUSIVE: Ostrander and Duursema Unveil ""Star Wars: Dawn of the Jedi"". Comic Book Resources. comicbookresources.com. Archived from the original on May 2, 2017. Retrieved on January 4, 2013. ",0,Legends,3,0,Other
"25,783 BBY",-25783,Pre-Republic era,Pre-Republic era,0,,The Force Wars end with the Force Cataclysm and the surviving members of the Je'daii Order establish the Jedi Order.,Star Wars: The Old Republic Encyclopedia,0,Legends,1,1,Other
"25,200 BBY",-25200,Pre-Republic era,Pre-Republic era,0,,The Tionese nobleman Xer VIII is born around this time., Essential Atlas Extra: The History of Xim and the Tion Cluster on StarWars.com (article) (backup link),1,Legends,1,0,Other
"25,200 BBY",-25200,Pre-Republic era,Pre-Republic era,0,,"The Infinite Empire is struck by a mysterious plague that strips the Rakata of their ability to use the Force, prompting slave revolts across the galaxy and the Empire's collapse.",The Essential Atlas,0,Legends,2,0,Other
"25,150 BBY",-25150,Pre-Republic era,Pre-Republic era,0,,"Xer VIII begins the Cronese Sweeps, the subjugation of pocket kingdoms around the Tion Hegemony.",The Essential Atlas,0,Legends,1,1,Other
"25,130 BBY",-25130,Pre-Republic era,Pre-Republic era,0,,"Xer's son Xim takes the throne of the Kingdom of Cron, and he begins a campaign to conquer the Livien League.",The Essential Atlas,0,Legends,1,0,Other
"25,127 BBY",-25127,Pre-Republic era,Pre-Republic era,0,,"Xim the Despot begins to expands his kingdom, having conquered the Livien League and the Tion Cluster.",The Essential Atlas,0,Legends,1,1,Other
"25,126 BBY",-25126,Pre-Republic era,Pre-Republic era,0,,Xim begins to absorb the Thanium Worlds.,The Essential Atlas,0,Legends,1,0,Other
"25,125 BBY",-25125,Pre-Republic era,Pre-Republic era,0,,Xim's empire begins to flourish in the Tion Cluster.,The Essential Atlas,0,Legends,1,1,Other
"25,120 BBY",-25120,Pre-Republic era,Pre-Republic era,0,,Xim begins to conquer the Kiirium Reaches to the southwest of his empire.,The Essential Atlas,0,Legends,1,0,Other
"25,116 BBY",-25116,Pre-Republic era,Pre-Republic era,0,,Xim's conquest of the Thanium Worlds comes to a close.,The Essential Atlas,0,Legends,1,1,Other
"25,102 BBY",-25102,Pre-Republic era,Pre-Republic era,0,,"Xim attacks the planet of Ko Vari, instigating a conflict between Xim and the Hutts.",The Essential Atlas,0,Legends,1,0,Other
"25,100 BBY",-25100,Pre-Republic era,Pre-Republic era,0,,The conflict between Xim and the Hutts reaches its peak; Kossak Inijic Ar'durv lures Xim into fighting the First and Second Battles of Vontor.,Star Wars: The Old Republic,3,Legends,1,1,Other
"25,100 BBY",-25100,Pre-Republic era,Pre-Republic era,0,,"Kossak convinces the Klatooinians, Nikto, and Vodran species to sign the Treaty of Vontor, securing their allegiance and their aid in the Third Battle of Vontor.",The Essential Atlas,2,Legends,2,1,Other
"25,100 BBY",-25100,Pre-Republic era,Pre-Republic era,0,,"Borte Belgoth is commissioned to construct a set of hyperspace beacons, one of which becomes known as Belgoth's Beacon. Belgoth's Beacon bears the faces of a Columi, a cacodemon, and a molator, and sits along the Perlemian Trade Route. (Approximate date)",The Essential Atlas,0,Legends,3,1,Other
"25,100 BBY",-25100,Pre-Republic era,Pre-Republic era,0,,"Xim is captured at Vontor and imprisoned in Kossak's dungeons on Varl, though the Tionese are unware of Xim's survival.",The Essential Atlas,1,Legends,4,1,Other
"25,096 BBY",-25096,Pre-Republic era,Pre-Republic era,0,,"Xim's empire completes the conquest of the Kiirium Reaches, despite the loss of its ruler.",The Essential Atlas,0,Legends,1,0,Other
"25,053 BBY",-25053,Expansionist Era,Expansionist Era,0,,"With the Rakatan hyperdrive having been reverse-engineered by Corellian scientists, the inhabitants of the Core Worlds begin to expand outward and settle the known galaxy.",Star Wars: The Old Republic Encyclopedia,0,Legends,1,1,Other
"25,053 BBY",-25053,Expansionist Era,Expansionist Era,0,,"The Galactic Republic is founded with the signing of the Galactic Constitution, and Coruscant becomes the new government's capital.",Star Wars: The Old Republic Encyclopedia,1,Legends,2,1,Other
"25,000 BBY",-25000,Expansionist Era,Expansionist Era,0,,"Republic scouts make contact with the Jedi Order on Ossus, and Jedi Master Haune Tiar accompanies the scouts back to the Republic. After conferring for several weeks, the Order pledge themselves to the Republic's service."," Star Wars: The Old Republic—Codex Entry: ""Galactic History 12: The Birth of the Republic""",1,Legends,1,0,Other
"25,000 BBY",-25000,Expansionist Era,Expansionist Era,0,,"The Jedi Sar Agorn takes on a Padawan in Cope Shykrill, but Shykrill falls to the dark side of the Force and is struck down. (Approximate date)",Jedi vs. Sith: The Essential Guide to the Force,2,Legends,2,0,Other
"25,000 BBY",-25000,Expansionist Era,Expansionist Era,0,,"The Perlemian Trade Route is founded, linking Coruscant with Ossus and the Tion Cluster.",The Essential Atlas,3,Legends,3,0,Other
"25,000 BBY",-25000,Expansionist Era,Expansionist Era,0,,"The Corellian Run is mapped, ensuring the economic dominance of Corellia in the forming Republic; the Corellian Run forms the southern border of the Slice.",The Essential Atlas,4,Legends,4,0,Other
25000–5000 BBY,-25000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,c. 25000 – c. 5000 BBY,,"The Temple of the Kyber is constructed on the cold, desert moon of Jedha.",Last Shot,10,Canon,5,0,Other
25000–5000 BBY,-25000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,c. 25000 – c. 5000 BBY,,Hylemane Lightbringer is born.,Star Wars: Episode VII The Force Awakens,11,Canon,6,0,ST
"25,000 BBY",-25000,Expansionist Era,Expansionist Era,0,,"With the development of the hyperdrive, Queen Rana allows for a wave of colonization to embark from Duros; one of the colony worlds is the planet Neimoidia, which is colonized by a group of Duros led by Chla C'cHaan. (Approximate date)","The Essential Atlas,  ""The University of Sanbra Guide to Intelligent Life: The Duros""—Star Wars Gamer 2",0,Legends,7,0,Other
25000–5000 BBY,-25000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,c. 25000 – c. 5000 BBY,,"Hylemane Lightbringer is bludgeoned to death by a chair, disproving the myth that ""he could not be killed by mortal weapons.""",Star Wars: Episode VII The Force Awakens,12,Canon,8,0,ST
25000–5000 BBY,-25000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,c. 25000 – c. 5000 BBY,,The ice moon Mesula is shattered.,Star Wars: Complete Locations,8,Canon,9,0,Other
25000–5000 BBY,-25000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,c. 25000 – c. 5000 BBY,,"Unbeknownst to others, the Sith on Moraband rebuild and await their revenge. Meanwhile, massive Sith temples and tombs are built in a location known as the Valley of the Dark Lords."," Zygerrian in the Databank (backup link), Star Wars 9",15,Canon,10,0,Other
25000–5000 BBY,-25000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,c. 25000 – c. 5000 BBY,,"The first Grand Zigoth of Utapau, Krynbalt Kyr, dies.",Star Wars: Complete Locations,9,Canon,11,0,Other
25000–5000 BBY,-25000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,c. 25000 – c. 5000 BBY,,"Darth Momin is trained by Darth Shaa. Eventually, Momin kills his Master and travels the galaxy honing his craft. Later, he and his acolytes are slain by a pair of Jedi during his destruction of a city through the use of a superweapon, although Momin's spirit survives through his mask. His story is deemed heretical by the Sith and is suppressed.      Many were labelled heretics in the Orders of the Jedi and Sith, and much of their journeys have been dismissed from history.", Death Star Superlaser in the Databank (backup link),17,Canon,12,0,Other
25000–5000 BBY,-25000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,c. 25000 – c. 5000 BBY,,"Before the time of the Galactic Republic, the lushly forested planet Mustafar is inhabited by off-worlder Lady Corvax, who lives in harmony with the native Mustafarians along with her husband. The latter dies as a result of an attack on Mustafar, leading to Corvax's theft of the most sacred Mustafarian relic, the Bright Star, in an attempt to use it in a ritual to resurrect her love.",Darth Vader: Dark Lord of the Sith 22,18,Canon,13,0,Other
25000–5000 BBY,-25000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,c. 25000 – c. 5000 BBY,,"The ritual fails; instead, the Bright Star's energies pushes Mustafar into a new orbit, reducing the world to an unbalanced, chaotic state. A volcanic wasteland is created as tiny Mustafar is torn between gas giants Lefrani and Jestefad. Thus, Sith seeking the secrets of eternal life are attracted to the world.","Darth Vader: Dark Lord of the Sith 22, According to Nexus of Power, which is set in the Imperial Era that begun in 19 BBY as dated by Star Wars: Galactic Atlas, the Jedi credited Ossus as having been their cultural center for a 12,000 year period. As such, it could also be calculated that Ossus came to be the Jedi's cultural center in approximately 12,000 BBY., Vader Immortal: A Star Wars VR Series – Episode I",19,Canon,14,0,Other
25000–5000 BBY,-25000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,c. 25000 – c. 5000 BBY,,"Radaki leaves the Jedi Order, believing that Jedi should retain their family ties and wealth. Thus he is seduced by the dark side of the force, becoming the Sith Lord Darth Krall.","Star Wars: The Rise of Skywalker: The Visual Dictionary, Dooku: Jedi Lost script",20,Canon,15,0,ST
25000–5000 BBY,-25000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,c. 25000 – c. 5000 BBY,,"Sith victory at the Battle of Wasted Years; this would be attributed to Darth Krall, who would also be remembered for taming the Nightmare Conjunction and as one of the Lost Twenty.",Dooku: Jedi Lost script,21,Canon,16,0,Other
25000–5000 BBY,-25000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,c. 25000 – c. 5000 BBY,,"The Ordu Aspectu is formed. Led by Rur, the Jedi splinter group come into conflict with Jedi orthodoxy with their experiments on immortality, beginning the Entruvia Conflict.","Dooku: Jedi Lost, Doctor Aphra 2",22,Canon,17,0,Other
25000–5000 BBY,-25000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,c. 25000 – c. 5000 BBY,,A dating system based on the signing of the Domancion Accord is used around this time.,Doctor Aphra 2,23,Canon,18,0,Other
25000–5000 BBY,-25000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,c. 25000 – c. 5000 BBY,,The Zygerrian Slave Empire is defeated by Jedi Knights.,Star Wars: Rogue One: The Ultimate Visual Guide,13,Canon,19,0,Other
25000–5000 BBY,-25000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,c. 25000 – c. 5000 BBY,,"The Conflict is ended with a Jedi—Ordu Aspectu peace treaty. Per the treaty's terms, Jedi inspectors arrive at the Citadel of Rur, and, believing they intend to deactivate him, an artificial intelligence made of Rur's knowledge seizes control of the Citadel's droids and slaughters its inhabitants. Rur sacrifices himself to deactivate the machine, hyperspace-jumping the Citadel across the galaxy in an event that became known as the Doom of the Ordu Aspectu.",Dooku: Jedi Lost,24,Canon,20,0,Other
25000–5000 BBY,-25000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,c. 25000 – c. 5000 BBY,,"Over time, the Sith Empire, with the use of slaves, vies for control of the galaxy. Battling the Jedi, they build gargantuan superweapons powered by kyber crystals."," Star Wars: The Clone Wars – ""Sacrifice"",  Star Wars: The Clone Wars – ""Escape from Kadavo"",  Star Wars: The Clone Wars – ""The Big Bang""",16,Canon,21,0,TCW
25000–5000 BBY,-25000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,c. 25000 – c. 5000 BBY,,"In the aftermath of the Corsair Wars, Master Oo'ob breaks with Jedi doctrine, pursuing a pre-emptive method of dealing with threats to galactic peace. He and his partner, noted crystallist Var-Whill, develop the Farkiller, and use it to kill a number of ""emergent"" despots. Within the decade, the Jedi Council pronounces them apostate and eventually purges them.",Doctor Aphra 6,26,Canon,22,0,Other
25000–5000 BBY,-25000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,c. 25000 – c. 5000 BBY,,The Corsair Wars occur.,Doctor Aphra 6,25,Canon,23,0,Other
25000–5000 BBY,-25000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,c. 25000 – c. 5000 BBY,,Utapau is settled by colonists who eventually evolve into the Pau'an and Utai species.,"According to Nexus of Power, which is set in the Imperial Era that begun in 19 BBY as dated by Star Wars: Galactic Atlas, the Jedi credited Ossus as having been their cultural center for a 12,000 year period. As such, it could also be calculated that Ossus came to be the Jedi's cultural center in approximately 12,000 BBY.",7,Canon,24,0,Other
25000 BBY,-25000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,Ancient beginnings (c. 25000 BBY),,"The comet Kinro is predicted to carve its way through the Core Worlds. Before it can enter the Mid Rim, members of the Jedi Order come together and will it apart, although several Jedi lose their lives or minds in the process.",Star Wars: Episode VII The Force Awakens,6,Canon,25,0,ST
25000 BBY,-25000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,Ancient beginnings (c. 25000 BBY),,"Within a few years of discovering the Crystal Caves on Ilum, a Jedi Temple is erected over the entrance, becoming a site of pilgrimage of Jedi of all ages. A Padawan ceremony called the Gathering is later established. Ilum's Holenesh Canyon outpost is established to study a periodical Force anomaly.",Star Wars Jedi: Fallen Order,5,Canon,26,0,Other
25000 BBY,-25000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,Ancient beginnings (c. 25000 BBY),,"The First Jedi Temple is constructed on the rocky islands of Ahch-To. Soon after, the Jedi village is also constructed on the Temple island.","Unlimited Power, Star Wars: The Last Jedi: The Visual Dictionary",4,Canon,27,0,ST
