time,yr_cleaned,event,era,sub_era,start,y-key
"100,000 BBY","100,000 BBY","Around this time, the Sharu expand out from the Rafa system and the Centrality, planting their indestructible pyramids on planets such as Aargau. However, the Sharu bury their cities and revert to a primitive state in an attempt to avoid the attention of the Celestials.[1]",Pre-Republic era,0,-100000,2
"100,000 BBY","100,000 BBY",The winged thrantcills are first recorded flying south for winter on Coruscant.[10],Pre-Republic era,0,-100000,3
"100,000 BBY","100,000 BBY","The Muurshantre Extinction occurs, destroying the Taurannik Codex and scattering its remains.[11]",Pre-Republic era,0,-100000,4
"90,000 BBY","90,000 BBY","The metropolis eventually known as Galactic City has grown to the point where new levels are built atop old ones, beginning the trend of upward building that continues for thousands of years.[1]",Pre-Republic era,0,-90000,0
"57,000 BBY","57,000 BBY",Humanoid colonists arrive on the planet Utapau.[12],Pre-Republic era,0,-57000,0
"53,600 BBY","53,600 BBY","The Quake, a series of intense groundquakes that last for centuries, begins on the planet Quesh.[13]",Pre-Republic era,0,-53600,0
"53,300 BBY","53,300 BBY",The Quake comes to an end as Quesh becomes geologically stable.[13],Pre-Republic era,0,-53300,0
"36,453 BBY","36,453 BBY","By this time, the few Kwa who remain on the Deep Core world of Tython have died out, and the Kwa as a whole have retreated to their homeworld of Dathomir in fear of the Rakata. The Kwa taught the Rakata how to use the Force, but conflict ensued when the Rakata tried to take the Kwa's Infinity Gate technology.[14]",Pre-Republic era,0,-36453,0
"36,453 BBY","36,453 BBY","The Tho Yor—eight great pyramid starships scattered across the galaxy—activate, calling Force-sensitives to them. The pilgrims board the Tho Yor, which proceed to visit numerous worlds and acquire Force-sensitives of many species before traveling to the Deep Core world of Tython.[15]",Pre-Republic era,0,-36453,1
"36,453 BBY","36,453 BBY","The arrival of the Tho Yor at the ninth and largest Tho Yor is heralded by an enormous Force Storm, and the Tho Yor scatter their passengers across Tython. The Tythans soon form the Je'daii Order, a group of Force-users who strive for balance between the light and dark sides of the Force which they know as Ashla and Bogan.[15]",Pre-Republic era,0,-36453,2
"35,000 BBY","35,000 BBY","The Rakata, having developed technology powered by the dark side of the Force, establish an Infinite Empire that begins to expand throughout the Unknown Regions and into the western galaxy.[16]",Pre-Republic era,0,-35000,0
"33,598 BBY","33,598 BBY",The central control system of the Infinite Empire's terraforming computer on the planet Kashyyyk receives its last communication from its builders.[17],Pre-Republic era,0,-33598,0
"33,357 BBY","33,357 BBY","The terraforming computer on Kashyyyk malfunctions, causing a hyper-acceleration in the growth of the planet's forests and giving rise to the enormous wroshyr trees.[17]",Pre-Republic era,0,-33357,0
"30,000 BBY","30,000 BBY","The Infinite Empire of the Rakata reaches its peak, spanning dozens of worlds across the galaxy. They annex the holdings of other spacefaring species such as the Gree and the Kwa.[1]",Pre-Republic era,0,-30000,0
"30,000 BBY","30,000 BBY","The Killiks of Alderaan attempt to invade the planet Korriban, but are repelled by the Sith species.[1]",Pre-Republic era,0,-30000,1
"30,000 BBY","30,000 BBY","The Killiks vanish from Alderaan,[1] Alsakan[18] and the galaxy at large, having been relocated to the Unknown Regions; modern scholars believe that the Celestials are responsible.[1]",Pre-Republic era,0,-30000,2
"28,000 BBY","28,000 BBY",King Adas begins his reign over the Sith on Korriban.[19],Pre-Republic era,0,-28000,0
"27,700 BBY","27,700 BBY","The Sith species on Korriban are visited by the Rakata of the Infinite Empire, but King Adas leads his people in driving the Rakata offworld after realizing they intend to conquer the planet.[1]",Pre-Republic era,0,-27700,0
"27,700 BBY","27,700 BBY","Korriban is devastated by the Rakatan attack, turning it into a wasteland and causing most Sith to relocate to the forested world of Ziost. Korriban becomes the species' holy tombworld.[19]",Pre-Republic era,0,-27700,1
"27,700 BBY","27,700 BBY","Using Rakatan Force-driven hyperdrive technology, the Sith spread out among the planets of the Stygian Caldera, and the planet Tund becomes a place of exile for heretics among the Sith.[1]",Pre-Republic era,0,-27700,2
"27,500 BBY","27,500 BBY","The Human natives of Coruscant begin to launch sublight sleeper ships over the next fifteen hundred years, seeding a number of worlds with Humans. These include Kuat, Metellos, Csilla, Alderaan, Koros Major, Rendili, and the Tion Cluster.[1] The Humans also launch the Kuat Explorer, which colonizes the planet Alsakan.[20]",Pre-Republic era,0,-27500,0
"27,000 BBY","27,000 BBY","The Gossam Courivers, a group of Gossam explorers using the tumble hyperdrive, visit the planet Felucia and start a trend of Gossam colonization for the world.[1]",Pre-Republic era,0,-27000,0
"27,000 BBY","27,000 BBY",The Devaronian species also experiments with the tumble hyperdrive around this time.[1],Pre-Republic era,0,-27000,1
"27,000 BBY","27,000 BBY",Human colonists arrive in the Tion Cluster on sleeper ships.[1],Pre-Republic era,0,-27000,2
"26,053 BBY","26,053 BBY",The Morodin species colonizes Varonat.[21],Pre-Republic era,0,-26053,0
"26,000 BBY","26,000 BBY","In the aftermath of the fourth in a series of devastating planetary conflicts,[22] the early Nikto discover the M'dweshuu nova and form the religious Cult of M'dweshuu.[4] The Cult quickly takes control of the entire planet of Kintan and rules for three decades.[22]",Pre-Republic era,0,-26000,0
"26,000 BBY","26,000 BBY",The Verpine species colonize the Roche system.[4],Pre-Republic era,0,-26000,1
"26,000 BBY","26,000 BBY","By this time, Kuat has launched their own colonization ships and seeded Axum, Tepasi, and Humbarine with Humans.[1]",Pre-Republic era,0,-26000,2
"25,805 BBY","25,805 BBY","Queen Hadiya of Shikaakwa tried to conquer the whole Tython system, igniting the Despot War.[23]",Pre-Republic era,0,-25805,0
"25,805 BBY","25,805 BBY","Queen Hadiya is killed at the Battle of Tython, ending the Despot War.[24]",Pre-Republic era,0,-25805,1
"25,793 BBY","25,793 BBY",The Force Wars on Tython begin between the followers of Ashla and the followers of Bogan.[25],Pre-Republic era,0,-25793,0
"25,793 BBY","25,793 BBY",Tatooine was conquered by the Infinite Empire.[1],Pre-Republic era,0,-25793,1
"25,793 BBY","25,793 BBY",The Infinite Empire launches a campaign of conquest against the Je'daii Order and the Settled Worlds.,Pre-Republic era,0,-25793,2
"25,783 BBY","25,783 BBY",The Force Wars end with the Force Cataclysm and the surviving members of the Je'daii Order establish the Jedi Order.[26],Pre-Republic era,0,-25783,0
"25,200 BBY","25,200 BBY","The Infinite Empire is struck by a mysterious plague that strips the Rakata of their ability to use the Force, prompting slave revolts across the galaxy and the Empire's collapse.[1]",Pre-Republic era,0,-25200,0
"25,200 BBY","25,200 BBY",The Tionese nobleman Xer VIII is born around this time.[27],Pre-Republic era,0,-25200,1
"25,150 BBY","25,150 BBY","Xer VIII begins the Cronese Sweeps, the subjugation of pocket kingdoms around the Tion Hegemony.[1]",Pre-Republic era,0,-25150,0
"25,130 BBY","25,130 BBY","Xer's son Xim takes the throne of the Kingdom of Cron, and he begins a campaign to conquer the Livien League.[1]",Pre-Republic era,0,-25130,0
"25,127 BBY","25,127 BBY","Xim the Despot begins to expands his kingdom, having conquered the Livien League and the Tion Cluster.[1]",Pre-Republic era,0,-25127,0
"25,126 BBY","25,126 BBY",Xim begins to absorb the Thanium Worlds.[1],Pre-Republic era,0,-25126,0
"25,125 BBY","25,125 BBY",Xim's empire begins to flourish in the Tion Cluster.[1],Pre-Republic era,0,-25125,0
"25,120 BBY","25,120 BBY",Xim begins to conquer the Kiirium Reaches to the southwest of his empire.[1],Pre-Republic era,0,-25120,0
"25,116 BBY","25,116 BBY",Xim's conquest of the Thanium Worlds comes to a close.[1],Pre-Republic era,0,-25116,0
"25,102 BBY","25,102 BBY","Xim attacks the planet of Ko Vari, instigating a conflict between Xim and the Hutts.[1]",Pre-Republic era,0,-25102,0
"25,100 BBY","25,100 BBY","Borte Belgoth is commissioned to construct a set of hyperspace beacons, one of which becomes known as Belgoth's Beacon. Belgoth's Beacon bears the faces of a Columi, a cacodemon, and a molator, and sits along the Perlemian Trade Route. (Approximate date)[1]",Pre-Republic era,0,-25100,0
"25,100 BBY","25,100 BBY","Xim is captured at Vontor and imprisoned in Kossak's dungeons on Varl, though the Tionese are unware of Xim's survival.[1]",Pre-Republic era,0,-25100,1
"25,100 BBY","25,100 BBY","Kossak convinces the Klatooinians, Nikto, and Vodran species to sign the Treaty of Vontor, securing their allegiance and their aid in the Third Battle of Vontor.[1]",Pre-Republic era,0,-25100,2
"25,100 BBY","25,100 BBY",The conflict between Xim and the Hutts reaches its peak; Kossak Inijic Ar'durv lures Xim into fighting the First and Second Battles of Vontor.[28],Pre-Republic era,0,-25100,3
"25,096 BBY","25,096 BBY","Xim's empire completes the conquest of the Kiirium Reaches, despite the loss of its ruler.[1]",Pre-Republic era,0,-25096,0
"25,053 BBY","25,053 BBY","With the Rakatan hyperdrive having been reverse-engineered by Corellian scientists, the inhabitants of the Core Worlds begin to expand outward and settle the known galaxy.[26]",Expansionist Era,0,-25053,0
"25,053 BBY","25,053 BBY","The Galactic Republic is founded with the signing of the Galactic Constitution, and Coruscant becomes the new government's capital.[26]",Expansionist Era,0,-25053,1
"25,000 BBY","25,000 BBY","With the development of the hyperdrive, Queen Rana allows for a wave of colonization to embark from Duros; one of the colony worlds is the planet Neimoidia,[1] which is colonized by a group of Duros led by Chla C'cHaan. (Approximate date)[30]",Expansionist Era,0,-25000,0
"25,000 BBY","25,000 BBY","Republic scouts make contact with the Jedi Order on Ossus, and Jedi Master Haune Tiar accompanies the scouts back to the Republic. After conferring for several weeks, the Order pledge themselves to the Republic's service.[29]",Expansionist Era,0,-25000,1
"25,000 BBY","25,000 BBY","The Jedi Sar Agorn takes on a Padawan in Cope Shykrill, but Shykrill falls to the dark side of the Force and is struck down. (Approximate date)[19]",Expansionist Era,0,-25000,2
"25,000 BBY","25,000 BBY","The Perlemian Trade Route is founded, linking Coruscant with Ossus and the Tion Cluster.[1]",Expansionist Era,0,-25000,3
"25,000 BBY","25,000 BBY","The Corellian Run is mapped, ensuring the economic dominance of Corellia in the forming Republic; the Corellian Run forms the southern border of the Slice.[1]",Expansionist Era,0,-25000,4
"24,500 BBY","24,500 BBY","The First Great Schism erupts in the Core Worlds between the Jedi Order and the Legions of Lettow, members of the Jedi Order who seek to use the dark side against the Order's wishes. The Legions' leader Xendor originally asked for permission to create an academy for the study of Force techniques outlawed by the Jedi, and after their refusal he founded the Legions on Lettow—prompting the Order to declare war on them.[31]",Expansionist Era,0,-24500,0
"24,500 BBY","24,500 BBY","The Schism sees Xendor's death at Columus, and the conflict ends not long afterwards as the Order invaded Lettow.[31]",Expansionist Era,0,-24500,1
"24,000 BBY","24,000 BBY","The Tionese War begins: the Tionese unite as the Honorable Union of Desevro & Tion and attack the Republic, storming down the Perlemian. The Republic begins producing warships at Core shipyards, but the Tionese push into the heart of the Republic and bomb numerous worlds. The Republic ultimately repels the Tionese with a desperate counterattack by numerous Core systems, sparking a series of offensives and counteroffensives that last around a century.[31]",Expansionist Era,0,-24000,0
"23,900 BBY","23,900 BBY","The Tionese War comes to an end as the Republic devastates the worlds of the Tion Cluster, though the Republic's sterilization of Desevro prompts the Jedi to break with the Republic.[31]",Expansionist Era,0,-23900,0
"23,900 BBY","23,900 BBY","The Republic negotiates with the Jedi, who eventually agree to serve as the Republic's watchmen.[31]",Expansionist Era,0,-23900,1
"23,643 BBY","23,643 BBY","The planet Uphrades experiences a period of significant volcanic activity, resulting in especially fertile soil tens of thousands of years later.[32]",Expansionist Era,0,-23643,0
"22,800 BBY","22,800 BBY","A Jedi scout follows the Force's call into the Unknown Regions, discovering the crystal world of Ilum. Ilum soon becomes an important religious world for the Jedi Order.[1]",Expansionist Era,0,-22800,0
"22,000 BBY","22,000 BBY",The planet Nubia is settled.[33],Expansionist Era,0,-22000,0
"20,100 BBY","20,100 BBY","By this time, most of the Colonies and the Inner Rim have been settled.[1]",Expansionist Era,0,-20100,0
"20,000 BBY","20,000 BBY",Roni von Wasaki is born. (Approximate date)[34],Great Manifest Period,0,-20000,0
"20,000 BBY","20,000 BBY",The planet Metellos attempts to establish a hyperlane known as the Metellos Trade Route that connects it with Coruscant and points westward to Orooturoo.[33],Great Manifest Period,0,-20000,1
"20,000 BBY","20,000 BBY","The Great Manifest Period begins, sparking an era of expansion for the Galactic Republic and the widespread colonization of the Slice.[1]",Great Manifest Period,0,-20000,2
"20,000 BBY","20,000 BBY",Etti IV is settled by Republic dissidents fleeing corruption in the Core Worlds. (Approximate date)[1],Great Manifest Period,0,-20000,3
"19,997 BBY","19,997 BBY","The planet Neona undergoes a dramatic climate change that submerges the planet's surface, driving the native species to extinction.[35]",Great Manifest Period,0,-19997,0
"19,000 BBY","19,000 BBY","The planet Kamino undergoes abrupt climate change, which causes the planet's glacial reserves to melt; all of Kamino's landmasses will be completely submerged within two hundred years.[1]",Great Manifest Period,0,-19000,0
"18,780 BBY","18,780 BBY","The Shawken Spire, a massive spire that touches low orbit and was constructed over the course of nine thousand years, is destroyed.[1]",Great Manifest Period,0,-18780,0
"18,000 BBY","18,000 BBY",The Bureau of Ships and Services has been formed by this time.[1],Great Manifest Period,0,-18000,0
"17,018 BBY","17,018 BBY",The Indecta Era begins.[31],The Indecta Era,0,-17018,0
"17,018 BBY","17,018 BBY","The First Alsakan Conflict begins, sparking fourteen thousand years of conflict between Alsakan and Coruscant. Alsakan leads its supporters, the Axis worlds, in blocking the Grand Companies of the Spin from expanding south, and the trading conglomerates are backed by Duros merchant barons and the Coruscant-dominated Republic.[31]",The Indecta Era,0,-17018,1
"17,018 BBY","17,018 BBY",Republic forces conquer the planet Virujansi.[31],The Indecta Era,0,-17018,2
"17,012 BBY","17,012 BBY",Alsakani forces liberate Virujansi.[31],The Indecta Era,0,-17012,0
"17,000 BBY","17,000 BBY","Rogue Arkanian scientists transplant a number of Xexto to the Quermia system, where they terraform the planet Quermia into a paradise and genetically manipulate the Xexto, resulting in the evolution of the Quermian species.[36]",The Indecta Era,0,-17000,0
"16,921 BBY","16,921 BBY","The Battle of Kes, the only direct armed conflict between the Republic and Alsakan during the early Alsakan Conflicts, occurs.[31]",The Indecta Era,0,-16921,0
"16,820 BBY","16,820 BBY",The First Siege of Porus Vida occurs.[31],The Indecta Era,0,-16820,0
"16,800 BBY","16,800 BBY",The Siege of Belasco occurs.[31],The Indecta Era,0,-16800,0
"16,782 BBY","16,782 BBY",The Celebratus Archive is founded on the planet Obroa-skai.[1],The Indecta Era,0,-16782,0
"16,700 BBY","16,700 BBY",The First Alsakan Conflict ends as the Bureau of Ships and Services forces a peace—the Bureau threatens to withhold access to the hyperspace beacons.[31],The Indecta Era,0,-16700,0
"16,200 BBY","16,200 BBY",The Second Alsakan Conflict begins.[31],The Indecta Era,0,-16200,0
"16,100 BBY","16,100 BBY",The Second Siege of Porus Vida occurs.[31],The Indecta Era,0,-16100,0
"16,000 BBY","16,000 BBY",The Second Alsakan Conflict's Gizer Campaign occurs.[31],The Indecta Era,0,-16000,0
"15,600 BBY","15,600 BBY","The Core Campaigns, part of the Second Alsakan Conflict, take place.[31]",The Indecta Era,0,-15600,0
"15,500 BBY","15,500 BBY","The Duinuogwuin Contention: Republic scouts encounter the Duinuogwuin, or Star Dragons, near Murkhana and incur the leviathans' wrath. The Star Dragons attack Coruscant, sparking mass panic,[31] but Supreme Chancellor Fillorean contacts the attackers and, upon discovering they are sentient, negotiates a peace with the philosopher Borz'Mat'oh.[33]",The Indecta Era,0,-15500,0
"15,500 BBY","15,500 BBY",Fillorean and Borz'Mat'oh collaborate to found the University of Coruscant.[33],The Indecta Era,0,-15500,1
"15,480 BBY","15,480 BBY",The Strontium Raid on Abhean occurs.[31],The Indecta Era,0,-15480,0
"15,400 BBY","15,400 BBY",The Second Alsakan Conflict comes to an end.[31],The Indecta Era,0,-15400,0
"15,000 BBY","15,000 BBY","Dahrtag, later known more commonly as Necropolis, is first settled by a religious order who are appalled by the way that Core cultures have grown more similar to each other. They set aside parts of the world for each culture, and invite any culture to inter their dead on the planet in their specific tradition.[38]",Kymoodon Era,0,-15000,0
"15,000 BBY","15,000 BBY","A few decades later, the Aqualish embark on a campaign of conquest, but are quickly stopped by the Republic.[4]",Kymoodon Era,0,-15000,1
"15,000 BBY","15,000 BBY","The Aquala and Quara species fight a civil war, but unite when an offworld exploratory vessel lands on Ando. The united Aqualish species kill the explorers and take their ship, learning to reproduce it.[4]",Kymoodon Era,0,-15000,2
"15,000 BBY","15,000 BBY","The Cremlevian War, which sees the Yuuzhan Vong conquer many of the planets in their galaxy before turning on themselves, comes to an end, and their homeworld Yuuzhan'tar strips the species of their ability to use the Force.[12]",Kymoodon Era,0,-15000,3
"15,000 BBY","15,000 BBY","The Hutt Cataclysms come to an end; by this time, the Hutt homeworld of Varl and the other colony worlds are lifeless wastes, forcing the Hutts to relocate to Evocar.[1]",Kymoodon Era,0,-15000,4
"15,000 BBY","15,000 BBY",The Anomids of Yablari join the Republic.[37],Kymoodon Era,0,-15000,5
"15,000 BBY","15,000 BBY",The Kymoodon Era begins.[1],Kymoodon Era,0,-15000,6
"15,000 BBY","15,000 BBY",The Galactic Senate heeds calls for the reestablishment of the Republic Navy.[31],Kymoodon Era,0,-15000,7
"14,743 BBY","14,743 BBY",The Herglic Crush occurs; one of the casualties of the event is the Caliginous Automaton on the planet Tomo-Reth.[1],Kymoodon Era,0,-14743,0
"14,500 BBY","14,500 BBY",The Third Alsakan Conflict begins with the Commenor Run Campaign.[31],Kymoodon Era,0,-14500,0
"14,450 BBY","14,450 BBY","The Cleansing of Rucapar occurs, a battle that sees the Alsakan Mosaics in the city of Rucapar destroyed by Republic forces.[31]",Kymoodon Era,0,-14450,0
"14,300 BBY","14,300 BBY",Nikato's Bootheel is established around the planet Raxus Prime.[1],Kymoodon Era,0,-14300,0
"14,300 BBY","14,300 BBY","The Third Alsakan Conflict comes to an end; during the final stages of fighting, the Duros Red Credit Brigade is defeated.[1]",Kymoodon Era,0,-14300,1
"14,000 BBY","14,000 BBY",Duros scouts discover the planet Sneeve and the Sneevel species in the Expansion Region.[38],Kymoodon Era,0,-14000,0
"14,000 BBY","14,000 BBY",The Korden family first appears.[40],Kymoodon Era,0,-14000,1
"14,000 BBY","14,000 BBY","A number of Sith establish a library-temple on the world of Krayiss Two where they slumber and their spirits haunt the temple for the next 10,000 years.[39]",Kymoodon Era,0,-14000,2
"13,800 BBY","13,800 BBY",The Fourth Alsakan Conflict begins.[31],Kymoodon Era,0,-13800,0
"13,649 BBY","13,649 BBY",The Defense of Drogheda takes place.[31],Kymoodon Era,0,-13649,0
"13,220 BBY","13,220 BBY",The Conquest of Manaan occurs.[31],Kymoodon Era,0,-13220,0
"13,200 BBY","13,200 BBY",The Fourth Alsakan Conflict comes to an end.[31],Kymoodon Era,0,-13200,0
"13,050 BBY","13,050 BBY",The Fifth Alsakan Conflict begins.[31],Kymoodon Era,0,-13050,0
"13,000 BBY","13,000 BBY","The Herglic Trade Empire joins the Republic, sparking development around the Hidakai Pool route.[1]",Kymoodon Era,0,-13000,0
"13,000 BBY","13,000 BBY",The planet Ailon becomes a member of the Republic.[41],Kymoodon Era,0,-13000,1
"12,980 BBY","12,980 BBY","Admiral Hirken defends Alsakani colonies in the Northern Dependencies, a campaign that was a major turning point in the conflict.[31]",Kymoodon Era,0,-12980,0
"12,720 BBY","12,720 BBY","The planet Pelagon in the future Tapani sector is first settled by large colony ships, and the colonists soon settle other worlds in the region.[35]",Kymoodon Era,0,-12720,0
"12,700 BBY","12,700 BBY",The Resistance on Cyrillia occurs.[31],Kymoodon Era,0,-12700,0
"12,700 BBY","12,700 BBY",The Fifth Alsakan Conflict comes to an end.[31],Kymoodon Era,0,-12700,1
"12,293 BBY","12,293 BBY",An expedition led by Doctor Beramsh conducts the first surveys of the planet Tandun III.[42],Kymoodon Era,0,-12293,0
"12,000 BBY","12,000 BBY","The planet Ord Mantell is settled by explorers and colonists from Corellia, and the planet becomes an Ordnance/Regional Depot that later serves as a basis for the Seventh Pius Dea Crusade.[1]",Kymoodon Era,0,-12000,0
"12,000 BBY","12,000 BBY","Haddius Korden, a successful merchant from Corulag, turned his family business into Korden Outfitting and Surveying, which supplied a wide variety of equipment to colonists headed for the farthest frontiers of the known galaxy.[40]",Kymoodon Era,0,-12000,1
"12,000 BBY","12,000 BBY",Ithorian herdships make first contact with the Republic.[1],Kymoodon Era,0,-12000,2
"12,000 BBY","12,000 BBY","Starting from the planet Gyndine, scouts start to establish the Ootmian Pabol route, bridging the gap between the Republic and Hutt Space.[1]",Kymoodon Era,0,-12000,3
"11,987 BBY","11,987 BBY","Supreme Chancellor Pers'lya is impeached by the Pius Dea, a religious sect who install the Human adherent Contispex. Contispex's election begins the Pius Dea Era.[31]",Pius Dea Era,0,-11987,0
"11,965 BBY","11,965 BBY",Contispex I sanctions a military invasion of Hutt Space—the First Pius Dea Crusade. The crusade is the first of a series of Pius Dea Crusades that are military crusades against alien species by the increasingly-Pius Dea Galactic Republic.[31],Pius Dea Era,0,-11965,0
"11,947 BBY","11,947 BBY",Contispex I steps down as Supreme Chancellor and is succeeded by his son Contispex II.[31],Pius Dea Era,0,-11947,0
"11,939 BBY","11,939 BBY","Contispex II sanctions the Third Pius Dea Crusade, yet another invasion of Hutt Space.[31]",Pius Dea Era,0,-11939,0
"11,933 BBY","11,933 BBY","The Jedi Order retreats to Ossus and severs all ties with the Pius Dea–dominated Republic, beginning their Recusal. A number of Jedi who are loyal to the Pius Dea form the Order of the Terrible Glare and settle on the planet Garn.[31]",Pius Dea Era,0,-11933,0
"11,920 BBY","11,920 BBY",The Fourth Pius Dea Crusade begins against the Hutts.[31],Pius Dea Era,0,-11920,0
"11,884 BBY","11,884 BBY","The Seventh Pius Dea Crusade, also known as the Great Northern Crusade, begins against the Zabrak and other species native to the northern region of the galaxy.[31]",Pius Dea Era,0,-11884,0
"11,820 BBY","11,820 BBY","The Sixth Alsakan Conflict begins as the Alsakani ally with the Duros, Herglics, and the Hutts against the Pius Dea-controlled Republic; however, the conflict ends with a Republic victory.[31]",Pius Dea Era,0,-11820,0
"11,791 BBY","11,791 BBY","The Tenth Pius Dea Crusade, also known as the Crusade of the Wilds, begins.[31]",Pius Dea Era,0,-11791,0
"11,708 BBY","11,708 BBY","The Colonial Era of the Tapani sector ends, beginning the Twelve Kingdoms Era.[35]",Pius Dea Era,0,-11708,0
"11,707 BBY","11,707 BBY",The Eleventh Pius Dea Crusade against the Herglics begins.[31],Pius Dea Era,0,-11707,0
"11,600s BBY","11,600s BBY",Republic citizens fleeing the Pius Dea settle the planet Prefsbelt IV.[31],Pius Dea Era,Twelfth Pius Dea Crusade,-11660,0
"11,600s BBY","11,600s BBY","Republic forces conduct an orbital bombardment of Zarracina III known as the Destruction of Zarracina III, turning its surface into an irradiated wasteland and forcing the native Zarracines into a nomadic existence.[43]",Pius Dea Era,Twelfth Pius Dea Crusade,-11660,1
"11,600s BBY","11,600s BBY","The Teirasans of Teirasa are outraged by the attack on Zarracina, prompting the Republic to attack Teirasa.[31]",Pius Dea Era,Twelfth Pius Dea Crusade,-11660,2
"11,591 BBY","11,591 BBY",The Fifteenth Pius Dea Crusade against the Baragwin begins.[31],Pius Dea Era,0,-11591,0
"11,198 BBY","11,198 BBY",The Twenty-Third Pius Dea Crusade against the Bothans and the Lanniks begins.[31],Pius Dea Era,0,-11198,0
"11,100 BBY","11,100 BBY","The Inquisitions begin in the Core Worlds and the Colonies, and the Jedi Order end their Recusal.[31]",Pius Dea Era,0,-11100,0
"11,057 BBY","11,057 BBY",The Thirty-Fourth Pius Dea Crusade against the Hutts begins.[31],Pius Dea Era,0,-11057,0
"10,970s BBY","10,970s BBY",The Renunciate Admiral Pers Pradeux discovers Prefsbelt IV and makes it a retreat for Renunciate naval officers in their efforts to overthrow the Pius Dea.[31],Pius Dea Era,0,-10970,0
"10,967 BBY","10,967 BBY","The Renunciation: The Renunciate movement, a splinter faction of the Pius Dea that has renounced their faith, reveals itself and allies with the Alsakani, Caamasi, and the Jedi Order. This splits the Pius Dea faith from within, pitting the Faithful against those who have abandoned the faith, and signals the start of the Seventh Alsakan Conflict.[31]",Pius Dea Era,0,-10967,0
"10,967 BBY","10,967 BBY","Renunciate forces clash with Faithfuls at Fondor, Ixtlar, and Cyrillia, supported by the Jedi, Alsakani, Duros, Herglics, and Hutts.[31]",Pius Dea Era,0,-10967,1
"10,966 BBY","10,966 BBY","The Bureau of Ships and Services seed the Republic Navy with rogue navicomputer codes, which forces the Pius Dea's ships to jump randomly to hyperspace and become lost forever.[31]",Ductavis Era,0,-10966,0
"10,966 BBY","10,966 BBY",Grand Master Biel Ductavis assumes the position of Supreme Chancellor; his ascension heralds the end of the Pius Dea era and the start of the Ductavis Era.[31],Ductavis Era,0,-10966,1
"10,966 BBY","10,966 BBY","At the Battle of Uquine, the Renunciate forces annihilate the remaining Pius Dea ships. The Jedi capture Contispex XIX aboard the Flame of Sinthara, taking him to Caamas where he stands trial and is imprisoned.[31]",Ductavis Era,0,-10966,2
"10,000 BBY","10,000 BBY",The Gran species begin to record their history. (Approximate date)[4],Ductavis Era,0,-10000,0
"10,000 BBY","10,000 BBY","The historian Vicendi compiles a list of the Twenty Wonders of the Galaxy for his Arturum Galactinum, a work commissioned for the Republic's anniversary.[1]",Ductavis Era,0,-10000,1
"10,000 BBY","10,000 BBY",Ryloth enters the Galactic Republic. (Approximate date)[1],Ductavis Era,0,-10000,2
"10,000 BBY","10,000 BBY",Madilon is discovered and becomes a principle component in hyperdrive manufacturing. (Approximate date)[40],Ductavis Era,0,-10000,3
