event,era,sub-era,sub-sub-era,year-cleaned,start,end,start+deprecated,end,yearcode,year-3,year-2,year,order-code,y-key
The Zygerrian Slave Empire is defeated by Jedi Knights.[22],The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,25000–5000 BBY,-25000,-5000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,27,15
"A rogue Jedi[23] leads a group of Force users to seek greater power through embracing the dark side of the Force. They split from the Jedi Order[9] during the schism known as the Hundred-Year Darkness,[24] becoming the rivalling Sith. Defeated, they are exiled by the Jedi Order and flee from known space to Moraband.[23]",The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,25000–5000 BBY,-25000,-5000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,28,16
"Unbeknownst to others, the Sith on Moraband rebuild and await their revenge.[23] Meanwhile, massive Sith temples and tombs are built in a location known as the Valley of the Dark Lords.[25]",The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,25000–5000 BBY,-25000,-5000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,29,17
"Over time, the Sith Empire, with the use of slaves,[26] vies for control of the galaxy. Battling the Jedi, they build gargantuan superweapons powered by kyber crystals.[27][28]",The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,25000–5000 BBY,-25000,-5000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,30,18
"Darth Momin is trained by Darth Shaa. Eventually, Momin kills his Master and travels the galaxy honing his craft. Later, he and his acolytes are slain by a pair of Jedi during his destruction of a city through the use of a superweapon, although Momin's spirit survives through his mask. His story is deemed heretical by the Sith and is suppressed.[29]      Many were labelled heretics in the Orders of the Jedi and Sith, and much of their journeys have been dismissed from history.",The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,25000–5000 BBY,-25000,-5000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,31,19
"Before the time of the Galactic Republic, the lushly forested planet Mustafar is inhabited by off-worlder Lady Corvax, who lives in harmony with the native Mustafarians along with her husband. The latter dies as a result of an attack on Mustafar, leading to Corvax's theft of the most sacred Mustafarian relic, the Bright Star, in an attempt to use it in a ritual to resurrect her love.[30]",The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,25000–5000 BBY,-25000,-5000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,32,20
"The ritual fails; instead, the Bright Star's energies pushes Mustafar into a new orbit, reducing the world to an unbalanced, chaotic state. A volcanic wasteland is created[30] as tiny Mustafar is torn between gas giants Lefrani and Jestefad.[19] Thus, Sith seeking the secrets of eternal life are attracted to the world.[31]",The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,25000–5000 BBY,-25000,-5000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,33,21
"Radaki[32] leaves the Jedi Order, believing that Jedi should retain their family ties and wealth. Thus he is seduced by the dark side of the force, becoming the Sith Lord Darth Krall.[33]",The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,25000–5000 BBY,-25000,-5000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,34,22
"Sith victory at the Battle of Wasted Years; this would be attributed to Darth Krall, who would also be remembered for taming the Nightmare Conjunction and as one of the Lost Twenty.[33]",The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,25000–5000 BBY,-25000,-5000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,35,23
"The Ordu Aspectu is formed.[34] Led by Rur, the Jedi splinter group come into conflict with Jedi orthodoxy with their experiments on immortality, beginning the Entruvia Conflict.[35]",The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,25000–5000 BBY,-25000,-5000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,36,24
A dating system based on the signing of the Domancion Accord is used around this time.[35],The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,25000–5000 BBY,-25000,-5000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,37,25
"The Conflict is ended with a Jedi—Ordu Aspectu peace treaty. Per the treaty's terms, Jedi inspectors arrive at the Citadel of Rur, and, believing they intend to deactivate him, an artificial intelligence made of Rur's knowledge seizes control of the Citadel's droids and slaughters its inhabitants. Rur sacrifices himself to deactivate the machine, hyperspace-jumping the Citadel across the galaxy in an event that became known as the Doom of the Ordu Aspectu.[34]",The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,25000–5000 BBY,-25000,-5000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,38,26
The Corsair Wars occur.[36],The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,25000–5000 BBY,-25000,-5000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,39,27
"In the aftermath of the Corsair Wars, Master Oo'ob breaks with Jedi doctrine, pursuing a pre-emptive method of dealing with threats to galactic peace. He and his partner, noted crystallist Var-Whill, develop the Farkiller, and use it to kill a number of ""emergent"" despots. Within the decade, the Jedi Council pronounces them apostate and eventually purges them.[36]",The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,25000–5000 BBY,-25000,-5000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,40,0
The carbonite mines of the Empress Teta system are conquered by a group known as the Krath.[37],The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,25000–5000 BBY,-25000,-5000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,41,1
The C.R.C. dating system is introduced.[37],The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,7977 BBY,-7977,-7977,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,42,2
Civilization on Bardotta begins when the Frangawl Cult reigned over a militant society.[6],The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,6000 BBY,-6000,-6000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,43,3
"Soon after Empress Teta's Unification Wars,[6] the Great Hyperspace War is waged according to the Qel-Droma Epics.[38]",The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),Battles with the Jedi (c. 5000 BBY),5000 BBY,-5000,-5000,-5000,,1,c. 5000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,44,4
"The Sith wages a war against the Jedi and[19] the Galactic Republic,[12] which sees the fall of the Republic capital Coruscant,[19] a cityworld located in the Galactic Core.[39] This allows the Sith to build a shrine on the planet, then exuding the force of the dark side. However, the Jedi eventually repel the Sith and reclaim Coruscant.[9]",The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),Battles with the Jedi (c. 5000 BBY),5000 BBY,-5000,-5000,-5000,,1,c. 5000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,45,5
"According to the Qel-Droma Epics, the Great Jedi Library on Ossus is established as the physical embodiment of Jedi knowledge.[40] The library's construction was said to be overseen by the Odan-Urr,[6] a Jedi Master who annotated on a ""Phases of Mortis"" solution to the Unsolved Theorem of Master Thorpe, which was inscribed on a book dating to millennia BBY.[31]",The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),Battles with the Jedi (c. 5000 BBY),5000 BBY,-5000,-5000,-5000,,1,c. 5000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,46,6
The original Rammahgon was thought to have been destroyed at around this point.[41]      Massassi warriors built great temples on Yavin 4.,The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),Battles with the Jedi (c. 5000 BBY),5000 BBY,-5000,-5000,-5000,,1,c. 5000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,47,7
The Great Temple is built by the Massassi on Yavin 4.[42],The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),Battles with the Jedi (c. 5000 BBY),5000 BBY,-5000,-5000,-5000,,1,c. 5000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,48,8
The Mandalorian-Jedi War occurs.[43],The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,5000–1000 BBY,-5000,-1000,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,49,9
The Mandalorian crusades occur as part of the Mandalorian-Jedi War.[43],The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,5000–1000 BBY,-5000,-1000,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,50,10
Ubduria is devasted by Mandalorians.[7],The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,5000–1000 BBY,-5000,-1000,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,51,11
Mandalore is reduced to a[44] barren[45] wasteland in the final stages of[44] the Mandalorian-Jedi War.[46],The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,5000–1000 BBY,-5000,-1000,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,52,12
The reptilian sentient civilization that came to be known as the Elders begin appearing on a planet that came to be known as the Mid Rim world of Naboo.[47][6],The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,4000 BBY,-4000,-4000,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,53,13
"According to the Qel-Droma Epics, Ossus is devastated by the Cron Supernovae, which were triggered by Naga Sadow. (Approximate date)[6]",The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,4000 BBY,-4000,-4000,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,54,14
"The Four Masters construct the Jedi Temple atop the ruins of the Sith shrine on Coruscant in an attempt to contain and eliminate its power,[9] as well as to take advantage of the area's strength in the Force. (Approximate date)[48]",The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,4000 BBY,-4000,-4000,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,55,15
"By this point, galactic travelers navigate hyperspace using hyperspace sextants.[49]",The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,3966 BBY,-3966,-3966,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,56,16
"Sith accounts describing the kyber weaponry built by Darth Tanis[31] within the Sith temple on Malachor[50] are made.[51]      Many individuals, Jedi and Sith, met their end on Malachor.",The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,3966 BBY,-3966,-3966,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,57,17
"Eventually, a cataclysmic event[52] at the Battle of Malachor,[11] later known in legends as the ""Great Scourge of Malachor,""[52] occurs during the era of great conflict that began around 5000 BBY;[11] Jedi Knights of the Old Republic era[52] uncover the battle station and confront the Sith. All participants are petrified by the superweapon,[50] including a witch who led the Sith forces,[53] although an entity known as the Presence remained in a Sith holocron within the Malachor temple.[50] Afterwards, Jedi are forbidden from traveling to Malachor, and data on the location is removed from the Jedi Archives.[52]",The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,3966 BBY,-3966,-3966,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,58,18
"By the time of the Great Scourge, the crossguard lightsaber design has become common among Makashi practitioners.[54]",The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,3966 BBY,-3966,-3966,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,59,19
The Lothal Calendar is introduced.[55],The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,3277 BBY,-3277,-3277,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,60,20
"The Force vergence Acablas on Auratera comes to be a known destination for Jedi Masters and Sith Lords, with Auratera aligning itself with the Galactic Republic or whichever Sith Empire that controlled the surrounding star systems.[6]",The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,2019 BBY,-2019,-2019,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,61,21
Bardotta's Jour-un becomes a trading hub and the planet's major spaceport.[6],The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,2019 BBY,-2019,-2019,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,62,22
"The Cron Drift asteroid field is established in the Auril sector, preventing expeditions to the ancient Jedi world of Ossus.[6]",The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,2019 BBY,-2019,-2019,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,63,23
Iktotch is incorporated into the Galactic Republic.[6],The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,2019 BBY,-2019,-2019,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,64,24
Weik is colonized by sentients.[6],The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,2019 BBY,-2019,-2019,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,65,25
"The Jedi code used by the Force wielders on Mortis to draw in Anakin Skywalker, Obi-Wan Kenobi, and Ahsoka Tano during the Clone Wars is last used around this time.[57]",The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,2000 BBY,-2000,-2000,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,66,26
The Dagoyan Order takes hold of Bardotta after a series of successful and strategic small-scale wars; The once ruling Frangawl Cult goes into hiding.[6],The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,2000 BBY,-2000,-2000,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,67,27
"The Arakein Monks set in stone a clock atop Mount Arakeirkos. According to legend, whoever watches each swing of its pendulum for a day will have the lifespan of the universe revealed before their eyes.[58]",The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,2000 BBY,-2000,-2000,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,68,0
Pre-Dark Age,The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,1000 BBY,-1000,-1000,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,69,1
The Mandalorian Jedi Tarre Vizsla creates the Darksaber.[60],The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),Pre-Dark Age,1000 BBY,-1000,-1000,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,70,2
Collapse of[61] the Galactic Republic;[12] beginning of the Dark Age.[61],The Old Republic (c. 25 millennia – c. 1000 BBY),Fall of the Old Republic (c. 5000 – c. 1000 BBY),Pre-Dark Age,1000 BBY,-1000,-1000,-5000,-1000,1,c. 5000 – c. 1000 BBY,c. 5000 – c. 1000 BBY,c. 25 millennia – c. 1000 BBY,71,0
